source_name,source_link,event_id,event_date,event_time,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
AGU,https://blogs.agu.org/landslideblog/2008/10/14/the-lifan-landslide-from-natural-disaster-to-cover-up/,684,8/1/2008 0:00,,"Sigou Village, Loufan County, Shanxi Province",unknown,landslide,rain,large,mine,11,,,684,China,CN,Shaanxi,0,Jingyang,41.02145,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,107.45,32.5625
Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/landslide_plows_through_lake_o.html,956,1/2/2009 2:00,2:00,"Lake Oswego, Oregon",5km,mudslide,downpour,small,unknown,0,,,956,United States,US,Oregon,36619,Lake Oswego,0.60342,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.663,45.42
CBS News,https://www.cbsnews.com/news/dozens-missing-after-peru-landslides/,973,1/19/2007 0:00,,"San Ramon district, 195 miles northeast of the capital, Lima, ",10km,landslide,downpour,large,unknown,10,,,973,Peru,PE,Junín,14708,San Ramón,0.85548,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-75.3587,-11.1295
Reuters,https://in.reuters.com/article/idINIndia-41450420090731,1067,7/31/2009 0:00,,Dailekh district,unknown,landslide,monsoon,medium,unknown,1,,,1067,Nepal,NP,Mid Western,20908,Dailekh,0.75395,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,81.708,28.8378
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2603,10/16/2010 12:00,12:00,sitio Bakilid in barangay Lahug,5km,landslide,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),2603,Philippines,PH,Central Visayas,798634,Cebu City,2.02204,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,123.8978,10.3336
BusinessWorld Online,http://www.bworldonline.com/content.php?section=Nation&title=-death-toll-from-rains-rises-nationwide-floods-displace-hundreds-in-leyte&id=46961,4203,2/16/2012 0:00,,"Paguite, Abuyog, Leyte",5km,landslide,downpour,medium,unknown,0,,,4203,Philippines,PH,Eastern Visayas,2404,Balinsacayao,2.28967,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,124.9668,10.7004
The Spokesman-Review,http://www.spokesman.com/stories/2012/mar/31/flooding-reported-across-region/,4290,3/30/2012 0:00,,"Pend Oreille County, State Route 20 near Usk, OR",5km,mudslide,downpour,small,unknown,0,,,4290,United States,US,Washington,2126,Newport,19.97241,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-117.2665,48.2797
Crónica Diaria,http://www.cronica.com.mx/notas/2007/320673.html,225,9/2/2007 0:00,,"calle Granjas, Ampliación Miguel de la Madrid, Acapulco",10km,complex,tropical_cyclone,medium,unknown,3,,Tropical Storm Henrietta,225,Mexico,MX,Sinaloa,3191,El Limón de los Ramos,10.88351,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-107.622,24.9531
MagicValley.com,http://magicvalley.com/news/local/first-fires-now-mud/article_a1e57eb0-596b-5b44-8356-4e58e177aa12.html,236,9/5/2007 0:00,10:00,"Warm Springs Road, Idaho",5km,mudslide,rain,medium,unknown,,,,236,United States,US,Idaho,2689,Ketchum,4.51471,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-114.4194,43.6846
UPI,https://www.upi.com/Top_News/2008/11/05/China-mudslide-death-toll-put-at-40/80051225865638/,873,11/1/2008 0:00,,"Lincang City, Yunnan, Yunnan-Tibet No. 214 highway.",10km,complex,downpour,medium,unknown,2,,,873,China,CN,Yunnan,0,Mengmeng,55.18512,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,100.0845,23.89
